"","name","state","county","acres","start_date","containment_date","notes","percent_forest_cover","population_2020","county_size_acres","forest_cover_acres"
"1","RADAR","Florida","Polk","1300","February 20","March 1","2024 Florida wildfires – A human-caused wildfire.[3]",35.7,775084,1286662.4,459338.4768
"2","Jeff Davis Palestine Rd","Mississippi","Jefferson Davis","1409","February 24","February 28","Caused $281,800 in damage.[4]",70.11,11044,261849.6,183582.75456
"3","Leaf","Mississippi","Greene","1730","February 24","April 23","[5]",74.2,13486,459968,341296.256
"4","North CIG","Texas","Moore","4012","February 24","February 25","2024 Texas wildfires – Reportedly human-caused.[5]",2.09,21193,582156.8,12167.07712
"5","353 I-80/Otto Road","Wyoming","Laramie","2193","February 24","March 25","2024 Wyoming wildfires[6]",2.55,102453,1720025.6,43860.6528
"6","Range 153","Colorado","El Paso","1816","February 25","March 5","2024 Colorado wildfires – Reportedly human-caused.[7]",2.98,762784,1362649.6,40606.95808
"7","Highway 16","Wyoming","Crook","1246","February 26","February 27","2024 Wyoming wildfires[8]",12.68,7235,1833830.4,232529.69472
"8","Walker","Oklahoma","Le Flore","1974","February 25","March 18","[5]",55.11,47862,1029516.8,567366.70848
"9","Nature","Oklahoma","Cherokee","3542","February 25","unknown","Reportedly human-caused. Caused an estimated $9,000 in damage.[5]",43.16,47305,496652.8,214355.34848
"10","Wildcat Creek","Wyoming","Crook","1200","February 25","unknown","2024 Wyoming wildfires – Estimated damage costs over $10,000.[5]",12.68,7235,1833830.4,232529.69472
"11","Betty's Way","Nebraska","Lincoln","67642","February 26","March 11","Caused $602,498 in damage.[9][5]",6.28,34026,1648076.8,103499.22304
"12","Betty's Way","Nebraska","Custer","67642","February 26","March 11","Caused $602,498 in damage.[9][5]",8.67,10394,1648608,142934.3136
"13","Smokehouse Creek","Texas","Hutchinson","146698","February 26","March 16","2024 Texas wildfires – Largest wildfire in Texas history. Reportedly human-caused.[10][11][12][5]",3.27,20098,572768,18729.5136
"14","Smokehouse Creek","Texas","Carson","146698","February 26","March 16","2024 Texas wildfires – Largest wildfire in Texas history. Reportedly human-caused.[10][11][12][5]",2.06,5688,591430.4,12183.46624
"15","Smokehouse Creek","Texas","Gray","146698","February 26","March 16","2024 Texas wildfires – Largest wildfire in Texas history. Reportedly human-caused.[10][11][12][5]",3.05,20829,594771.2,18140.5216
"16","Smokehouse Creek","Texas","Roberts","146698","February 26","March 16","2024 Texas wildfires – Largest wildfire in Texas history. Reportedly human-caused.[10][11][12][5]",4.24,820,591481.6,25078.81984
"17","Smokehouse Creek","Texas","Wheeler","146698","February 26","March 16","2024 Texas wildfires – Largest wildfire in Texas history. Reportedly human-caused.[10][11][12][5]",4.17,4839,585907.2,24432.33024
"18","Smokehouse Creek","Texas","Hemphill","146698","February 26","March 16","2024 Texas wildfires – Largest wildfire in Texas history. Reportedly human-caused.[10][11][12][5]",4.04,3358,583782.4,23584.80896
"19","Smokehouse Creek","Texas","Lipscomb","146698","February 26","March 16","2024 Texas wildfires – Largest wildfire in Texas history. Reportedly human-caused.[10][11][12][5]",3.03,3040,596691.2,18079.74336
"20","Smokehouse Creek","Oklahoma","Ellis","15798","February 26","March 16","2024 Texas wildfires – Largest wildfire in Texas history. Reportedly human-caused.[10][11][12][5]",5.7,3662,788377.6,44937.5232
"21","Smokehouse Creek","Oklahoma","Roger Mills","15798","February 26","March 16","2024 Texas wildfires – Largest wildfire in Texas history. Reportedly human-caused.[10][11][12][5]",6.85,3358,733708.8,50259.0528
"22","Windy Deuce","Texas","Potter","143302","February 26","March 14","2024 Texas wildfires – Reportedly human-caused. Caused over $3,000,000 in damage.[5]",3.93,117155,590067.2,23189.64096
"23","Windy Deuce","Texas","Moore","143302","February 26","March 14","2024 Texas wildfires – Reportedly human-caused. Caused over $3,000,000 in damage.[5]",2.09,21193,582156.8,12167.07712
"24","Windy Deuce","Texas","Hutchinson","143302","February 26","March 14","2024 Texas wildfires – Reportedly human-caused. Caused over $3,000,000 in damage.[5]",3.27,20098,572768,18729.5136
"25","Windy Deuce","Texas","Carson","143302","February 26","March 14","2024 Texas wildfires – Reportedly human-caused. Caused over $3,000,000 in damage.[5]",2.06,5688,591430.4,12183.46624
"26","Grape Vine Creek","Texas","Gray","34883","February 26","March 10","2024 Texas wildfires – Reportedly human-caused. Caused $270,360 in damages.[5]",3.05,20829,594771.2,18140.5216
"27","Sand Creek","Oklahoma","Harper","2645","February 26","February 29","Reportedly human-caused. Caused $120,913 in damage.[13][14][5]",6.34,3133,665990.4,42223.79136
"28","Huliet Pass","Texas","Armstrong","2963","February 26","February 27","2024 Texas wildfires – Reportedly human-caused.[5]",4.12,1823,584851.2,24095.86944
"29","Catesby","Oklahoma","Ellis","89688","February 27","March 17","Reportedly human-caused. Caused an estimated $1,300,000 in damage.[15][5]",5.7,3662,788377.6,44937.5232
"30","Slapout","Oklahoma","Beaver","26020","February 27","March 8","Caused $322,936 in damage.[16][5]",3.4,4882,1163308.8,39552.4992
"31","Magenta","Texas","Oldham","3297","February 27","March 5","2024 Texas wildfires[5]",2.87,1697,960915.2,27578.26624
"32","Range 135","Colorado","El Paso","7744","February 29","March 5","2024 Colorado wildfires – Reportedly human-caused. Estimated damage costs of $100,000.[5]",2.98,762784,1362649.6,40606.95808
"33","Happy Jack","Wyoming","Laramie","6524","March 1","July 3","2024 Wyoming wildfires – Reportedly human-caused. Estimated damage costs of $120,000.[5]",2.55,102453,1720025.6,43860.6528
"34","Brushy Crossing","Florida","Liberty","2214","March 2","April 1","2024 Florida wildfires – This fire was reportedly human-caused. Caused at least $40,000 in damage.[17][5]",60.15,7815,539596.8,324567.4752
"35","Boggsville","Colorado","Bent","1062","March 2","March 18","2024 Colorado wildfires – Reportedly human-caused. Estimated damage total of $178,000.[5]",3.05,5527,986297.6,30082.0768
"36","139","Wyoming","Laramie","2017","March 2","March 26","2024 Wyoming wildfires – Reportedly human-caused.[5]",2.55,102453,1720025.6,43860.6528
"37","Snake Trail","Minnesota","Waseca","1604","March 3","March 29","Estimated $20,000 in damages.[5]",17.68,18978,277100.8,48991.42144
"38","Doran WMA","Minnesota","Otter Tail","2147","March 3","March 22","Estimated $200,000 in damages.[5]",22.52,60511,1423571.2,320588.23424
"39","Roughneck","Texas","Hutchinson","355","March 3","March 16","The city of Sanford was evacuated due to the human-caused wildfire.[18][19][5]",3.27,20098,572768,18729.5136
"40","Aubrey","Arizona","Coconino","3426","March 5","March 8","2024 Arizona wildfires[5]",9.39,148808,11943289.6,1121474.89344
"41","Aubrey","Arizona","Yavapai","3426","March 5","March 8","2024 Arizona wildfires[5]",9.21,246111,5201484.8,479056.75008
"42","Otter Road","Montana","Rosebud","2281","March 10","June 6","[5]",3.55,8014,3216134.4,114172.7712
"43","Otter Road","Montana","Big Horn","2281","March 10","June 6","[5]",7.99,12960,3210316.8,256504.31232
"44","Zink","Oklahoma","Osage","8410","March 14","April 10","[20]",22.57,45343,1474579.2,332812.52544
"45","Flying G","Oklahoma","Tulsa","1110","March 17","April 1","Estimated damage totals over $100,000.[5]",20.8,685694,375558.4,78116.1472
"46","Oak","Oklahoma","Osage","1033","March 17","April 1","",22.57,45343,1474579.2,332812.52544
"47","Capon","Virginia","Rockingham","2368","March 20","unknown","2024 Virginia wildfires[5]",55.46,85620,546496,303086.6816
"48","Rocky Branch","Virginia","Page","1014","March 20","April 8","2024 Virginia wildfires – Estimated damage totals are $1,200,000.[5]",62.13,23734,200480,124558.224
"49","Rocky Branch","Virginia","Rappahannock","1014","March 20","April 8","2024 Virginia wildfires – Estimated damage totals are $1,200,000.[5]",65.58,7337,171008,112147.0464
"50","Waites Run","Virginia","Shenandoah","1862","March 20","April 29","2024 Virginia wildfires[5]",57.23,44875,327571.2,187468.99776
"51","Waites Run","West Virginia","Hardy","4361","March 20","April 29","2024 Virginia wildfires[5]",70.34,14250,374073.6,263123.37024
"52","Waterfall Mountain","Virginia","Page","6399","March 20","April 29","2024 Virginia wildfires[5]",62.13,23734,200480,124558.224
"53","Waterfall Mountain","Virginia","Shenandoah","6399","March 20","April 29","2024 Virginia wildfires[5]",57.23,44875,327571.2,187468.99776
"54","Pear Tree","Oklahoma","Osage","1080","March 28","April 9","",22.57,45343,1474579.2,332812.52544
"55","Stabler","Oklahoma","Osage","1911","April 5","April 20","",22.57,45343,1474579.2,332812.52544
"56","Hinson","Florida","Lake","2352","April 5","August 12","2024 Florida wildfires – Reportedly human-caused. Damage totals are estimated to be $400,000.[5]",33.26,416179,740326.4,246232.56064
"57","Twisted Arrow","North Dakota","Benson","1365","April 6","unknown","Estimated $8,000 in damages.[5]",5.45,5557,921216,50206.272
"58","Twisted Arrow","North Dakota","Eddy","1365","April 6","unknown","Estimated $8,000 in damages.[5]",5.58,2287,412249.6,23003.52768
"59","Rock","Arizona","Gila","4306","April 11","","[21]",15.77,53901,3068684.8,483931.59296
"60","Codell Rd","Kansas","Ellis","1568","April 11","April 22","Reportedly human-caused. Estimated damage totals are over $160,000.[5]",3.96,28784,576236.8,22818.97728
"61","Range 127","Colorado","El Paso","1132","April 15","May 13","2024 Colorado wildfires – Reportedly human-caused.[5]",2.98,762784,1362649.6,40606.95808
"62","Parces Rd","Mississippi","Forrest","1730","April 18","June 24","[5]",66.21,78409,300953.6,199261.37856
"63","Mile Marker 32","Texas","Kenedy","1424","April 19","April 24","2024 Texas wildfires[5]",12,328,924672,110960.64
"64","Little Yamsay","Oregon","Klamath","6340","April 20","May 13","Lightning-caused",27.98,70238,3927820.8,1099004.25984
"65","Wolf","Arizona","Coconino","9872","April 29","July 26","2024 Arizona wildfires[5]",9.39,148808,11943289.6,1121474.89344
"66","School","California","Kern","1479","May 2","May 3","",5.52,927179,5225548.8,288450.29376
"67","Flying Bucket","Arizona","Maricopa","2795","May 6","unknown","2024 Arizona wildfires[5]",2.72,4613696,5904640,160606.208
"68","Toyo","Arizona","Graham","1779","May 10","May 24","2024 Arizona wildfires – Reportedly human-caused. Estimated damage costs over $5,000,000.[5]",10.37,39500,2969734.4,307961.45728
"69","Toyo","Arizona","Gila","1779","May 10","May 24","2024 Arizona wildfires – Reportedly human-caused. Estimated damage costs over $5,000,000.[5]",15.77,53901,3068684.8,483931.59296
"70","Laguna 24","Texas","Kleberg","12385","May 11","May 28","2024 Texas wildfires[5]",11.58,30876,568601.6,65844.06528
"71","Little Twist","Utah","Beaver","5367","May 13","August 22","",10.92,7169,1654374.4,180657.68448
"72","Hackberry Canyon","Texas","Potter","1088","May 14","May 25","2024 Texas wildfires –  Caused an estimated $400,000 in damage.[5]",3.93,117155,590067.2,23189.64096
"73","Blue 2","New Mexico","Lincoln","7532","May 16","July 15","2024 New Mexico wildfires – Estimated damage costs over $25,000,000.[5]",7.4,20386,3092051.2,228811.7888
"74","Roberts","California","Monterey","7030","May 17","May 25","Burned in Camp Roberts.",15.77,440572,2120531.2,334407.77024
"75","Spruce Creek","Colorado","Montezuma","5692","May 14","May 31","2024 Colorado wildfires – Estimated damage costs over $3,000,000.[5]",13.11,26151,1305504,171151.5744
"76","Wildcat","Arizona","Maricopa","14402","May 18","July 29","2024 Arizona wildfires – Reportedly human caused. Estimated damage costs over $7,000,000.[5]",2.72,4613696,5904640,160606.208
"77","Spruce Creek","Colorado","Montezuma","5699","May 14","May 31","[27]",13.11,26151,1305504,171151.5744
"78","Rabbit Valley","Colorado","Mesa","414","May 17","June 20","",16.77,159860,2138284.8,358590.36096
"79","Indios","New Mexico","Rio Arriba","11477","May 19","unknown","2024 New Mexico wildfires – Estimated damage costs over $16,000,000.[5]",16.81,40094,3773561.6,634335.70496
"80","Rocky","Arizona","Graham","1598","May 23","May 29","2024 Arizona wildfires – Reportedly human-caused. Estimated damage costs over $1,500,000.[5]",10.37,39500,2969734.4,307961.45728
"81","Refuge","Arizona","Yuma","1042","May 25","July 10","2024 Arizona wildfires[5]",0.81,210406,3532115.2,28610.13312
"82","Refuge","Arizona","La Paz","1042","May 25","July 10","2024 Arizona wildfires[5]",0.6,16042,2886835.2,17321.0112
"83","Indian River Trail","Florida","Brevard","2006","May 25","June 16","2024 Florida wildfires[5]",35.56,627579,673132.8,239366.02368
"84","Hill","California","Santa Barbara","1383","May 28","June 1","",15.02,449629,1758745.6,264163.58912
"85","Firebaugh","California","Madera","1300","May 30","May 30","[29]",12.88,159627,1378073.6,177495.87968
"86","Corral","California","San Joaquin","14168","June 1","June 6","Two firefighters were injured. Interstate 580 was closed in both directions.[30][31]",10.33,805076,913024,94315.3792
"87","Spring","Arizona","Maricopa","4041","June 1","June 18","2024 Arizona wildfires[5]",2.72,4613696,5904640,160606.208
"88","West","California","Kern","1576","June 2","June 6","",5.52,927179,5225548.8,288450.29376
"89","Adams","Arizona","Maricopa","5029","June 2","July 13","2024 Arizona wildfires[5]",2.72,4613696,5904640,160606.208
"90","Road","California","Kern","1076","June 4","June 6","",5.52,927179,5225548.8,288450.29376
"91","Lost","California","Kern","3600","June 6","June 11","2024 California wildfires[34]",5.52,927179,5225548.8,288450.29376
"92","Bowden","Oregon","Malheur","5720","June 6","August 18","",1.77,31787,6355072,112484.7744
"93","Antone","New Mexico","Catron","12397","June 7","July 30","2024 New Mexico wildfires[5]",16.07,3544,4434988.8,712702.70016
"94","Pioneer","Washington","Chelan","38735","June 8","October 3","Town of Stehekin ordered to evacuate (by boat) on the morning of July 28[35]",36.95,81447,1916416,708115.712
"95","Top","Arizona","Gila","3292","June 9","June 18","2024 Arizona wildfires",15.77,53901,3068684.8,483931.59296
"96","OTR 31","Idaho","Ada","2595","June 11","June 11","Caused by human activity.",3.36,535561,678764.8,22806.49728
"97","Nisqually John","Washington","Whitman","1221","June 14","June","",5.86,47521,1393849.6,81679.58656
"98","Foote","Arizona","Greenlee","4568","June 14","September 3","2024 Arizona wildfires – Estimated damage costs over $1,500,000.[5]",17.8,9623,1182368,210461.504
"99","Bear","California","San Luis Obispo","1410","June 12","June 14","",9.94,284571,2124473.6,211172.67584
"100","OTR 47","Idaho","Ada","2127","June 15","June 15","Caused by human activity.",3.36,535561,678764.8,22806.49728
"101","Beam Road","Washington","Yakima","8542","June 15","June 18","",24.69,259982,2758662.4,681113.74656
"102","Neff Road","Washington","Walla Walla","1435","June 15","June","",7.4,62762,831334.4,61518.7456
"103","Junes","California","Butte","1056","June 15","June 18","Destroyed one structure.",27.18,208339,1073363.2,291740.11776
"104","Post","California","Los Angeles","15563","June 15","June 26","Began near Gorman, burning parallel to Interstate 5; caused the evacuation of ~1,200 people in nearby recreation areas. Damaged two structures.[44][45]",9.64,9965925,2614444.8,252032.47872
"105","Post","California","Ventura","15563","June 15","June 26","Began near Gorman, burning parallel to Interstate 5; caused the evacuation of ~1,200 people in nearby recreation areas. Damaged two structures.[44][45]",13.29,844853,1186912,157740.6048
"106","Encerrita","New Mexico","Cibola","2499","June 15","August 28","2024 New Mexico wildfires[5]",9.93,27044,2906963.2,288661.44576
"107","Hesperia","California","San Bernardino","1078","June 15","June 24","",1.73,2216051,12867456,222606.9888
"108","Point","California","Sonoma","1207","June 16","June 24","Prompted evacuations of some 400 residents northwest of Dry Creek Valley. Caused one injury and destroyed three structures.",31.64,486760,1016364.8,321577.82272
"109","Sayer","Arizona","Coconino","1049","June 16","July 18","2024 Arizona wildfires – Estimated damage costs over $125,000.[5]",9.39,148808,11943289.6,1121474.89344
"110","Rabbit Valley","Colorado","Mesa","414","June 17","July 3","2024 Colorado wildfires – Reportedly human-caused. Estimated damage costs over $500,000.[5]",16.77,159860,2138284.8,358590.36096
"111","Rabbit Valley","Utah","Grand","454","June 17","July 3","2024 Colorado wildfires – Reportedly human-caused. Estimated damage costs over $500,000.[5]",7.81,9875,2358201.6,184175.54496
"112","Sites","California","Colusa","19195","June 17","June 25","",13.26,21969,740064,98132.4864
"113","Aero","California","Calaveras","5285","June 17","June 27","Caused evacuations in both Calaveras and Tuolumne counties, damaged one structure and destroyed three.",28.24,45436,663635.2,187410.58048
"114","Salt","New Mexico","Otero","7939","June 17","unknown","2024 New Mexico wildfires – Reportedly human-caused. Estimated damage costs over $10,000,000.[5]",9.15,69081,4241171.2,388067.1648
"115","Salt","New Mexico","Lincoln","7939","June 17","unknown","2024 New Mexico wildfires – Reportedly human-caused. Estimated damage costs over $10,000,000.[5]",7.4,20386,3092051.2,228811.7888
"116","South Fork Fire","New Mexico","Otero","17569","June 17","unknown","2024 New Mexico wildfires – Estimated damage costs over $70,000,000.[5]",9.15,69081,4241171.2,388067.1648
"117","South Fork Fire","New Mexico","Lincoln","17569","June 17","unknown","2024 New Mexico wildfires – Estimated damage costs over $70,000,000.[5]",7.4,20386,3092051.2,228811.7888
"118","Upper Applegate","Oregon","Jackson","1143","June 20","June 30","Caused by human activity.",50.23,226898,1792838.4,900542.72832
"119","Long Bend","Oregon","Wasco","1024","June 22","July 26","",18.61,27010,1532755.2,285245.74272
"120","Slide Ranch/Mission Road","Washington","Yakima","3106","June 22","July 9","Began on Yakama Reservation, arson",24.69,259982,2758662.4,681113.74656
"121","Oak Ridge","Colorado","Custer","1310","June 22","unknown","2024 Colorado wildfires – Estimated damage costs over $18,000,000.[5]",21.7,5201,473555.2,102761.4784
"122","Oak Ridge","Colorado","Pueblo","1310","June 22","unknown","2024 Colorado wildfires – Estimated damage costs over $18,000,000.[5]",5.47,170941,1534572.8,83941.13216
"123","Pine Ridge","Wyoming","Goshen","1290","June 24","June 26","2024 Wyoming wildfires[5]",1.53,12308,1428582.4,21857.31072
"124","Fresno June Lightning Complex","California","Fresno","10616","June 24","July 6","Consisted of the Flash, Bolt, Hog, and other fires. Ignited by lightning. Destroyed one structure.",11.27,1029488,3847123.2,433570.78464
"125","Darlene 3","Oregon","Deschutes","3903","June 25","July 1","undetermined",22.45,211844,1954675.2,438824.5824
"126","Coonskin","Idaho","Twin Falls","13074","June 26","July 22","Caused by lightning.",3.79,94601,1234361.6,46782.30464
"127","Coonskin","Idaho","Owyhee","13074","June 26","July 22","Caused by lightning.",3.44,12613,4925971.2,169453.40928
"128","Little Valley","Oregon","Malheur","17901","June 26","July 1","undetermined",1.77,31787,6355072,112484.7744
"129","Dry Lake","Oregon","Malheur","2670","June 26","October 9","Lightning-caused.",1.77,31787,6355072,112484.7744
"130","Soldier","Idaho","Owyhee","5313","June 26","June 30","Lightning-caused.",3.44,12613,4925971.2,169453.40928
"131","Basin","California","Fresno","14023","June 26","July 20","Prompted evacuations in the Kirch Flat Campground and Balch Camp area.",11.27,1029488,3847123.2,433570.78464
"132","Pizona","Nevada","Mineral","2160","June 26","July 5","Lighting-caused",3.43,4516,2439334.4,83669.16992
"133","Yellow Peak","Nevada","Washoe","1262","June 26","July 2","",6.13,507376,4186156.8,256611.41184
"134","SCD - Boulder View","Arizona","Maricopa","3711","June 27","July 16","2024 Arizona wildfires – Estimated damage costs over $4,000,000.[5]",2.72,4613696,5904640,160606.208
"135","Lockett","Arizona","Coconino","2782","June 29","August 22","2024 Arizona wildfires – Estimated damage costs over $200,000.[5]",9.39,148808,11943289.6,1121474.89344
"136","Bluestem 24","Texas","Brazoria","2420","June 30","July 7","2024 Texas wildfires[5]",21.88,392214,909907.2,199087.69536
"137","Mccain","California","San Diego","1595","July 1","July 10","Prompted evacuations near Jacumba and caused one civilian injury.",10.79,3325723,2711238.4,292542.62336
"138","Fisher","New Mexico","Socorro","8044","July 1","July 21","2024 New Mexico wildfires – Estimated damage costs of $2,152,000.[5]",8.12,16159,4254886.4,345496.77568
"139","Weimer","Arizona","Coconino","1083","July 2","July 12","2024 Arizona wildfires – Estimated damage costs over $250,000.[5]",9.39,148808,11943289.6,1121474.89344
"140","Ridge","New Mexico","Catron","4257","July 2","September 19","2024 New Mexico wildfires – Estimated damage costs over $5,000,000.[5][95]",16.07,3544,4434988.8,712702.70016
"141","Thompson","California","Butte","3789","July 2","July 8","Caused evacuations in parts of Oroville and Kelly Ridge. Destroyed 26 structures, damaged eight. Two people were injured. Started by arson.",27.18,208339,1073363.2,291740.11776
"142","Airline","California","San Benito","1295","July 2","July 5","Caused one injury.",9.6,68191,889900.8,85430.4768
"143","Shelly","California","Siskiyou","15520","July 3","August 6","Eight firefighters were injured.",35.12,43635,4062681.6,1426813.77792
"144","Joe Barker Road","Washington","Walla Walla","1436","July 3","August 14","",7.4,62762,831334.4,61518.7456
"145","Billy Creek","Idaho","Nez Perce","3185","July 3","August 7","Started along the Idaho/Washington state line.",16.76,42908,548179.2,91874.83392
"146","Olive","California","Kern","1357","July 3","July 5","",5.52,927179,5225548.8,288450.29376
"147","Road 11","Washington","Ferry","1422","July 4","July","",42.46,7174,1444742.4,613437.62304
"148","Lake","California","Santa Barbara","38664","July 5","August 4","Destroyed four structures, damaged one, and injured seven firefighters.",15.02,449629,1758745.6,264163.58912
"149","Silver King","Utah","Piute","18222","July 5","August 1","",16.07,1418,490265.6,78785.68192
"150","Walcott","Idaho","Cassia","2149","July 6","July 18","[108]",7.26,25457,1651667.2,119911.03872
"151","Swany","Idaho","Ada","1154","July 6","July 9","",3.36,535561,678764.8,22806.49728
"152","Deer Springs","Utah","Kane","11765.77","July 7","July 30","",6.56,7813,2628614.4,172437.10464
"153","North","California","Modoc","4685","July 7","July 14","",11.93,8507,2690086.4,320927.30752
"154","Boulter","Utah","Tooele","2243","July 7","August 30","",2.29,79760,4663046.4,106783.76256
"155","Salt Creek","Oregon","Jackson","4102","July 7","July 24","Human-caused",50.23,226898,1792838.4,900542.72832
"156","Vista","California","San Bernardino","2936","July 7","August 17","Caused the evacuation of the Mt. Baldy ski resort",1.73,2216051,12867456,222606.9888
"157","Wilder","Nevada","Humboldt","17275","July 7","July 14","",4.9,17672,6181030.4,302870.4896
"158","North Creek","Nevada","White Pine","1100","July 7","July 14","",3.76,9013,5693254.4,214066.36544
"159","Pius","Arizona","Coconino","1999","July 8","August 25","2024 Arizona wildfires – Reportedly human-caused. Estimated damage costs over $10,000,000.[5]",9.39,148808,11943289.6,1121474.89344
"160","Upper Pine","Oregon","Harney","1086","July 8","July 19","undetermined",4.84,7526,6545734.4,316813.54496
